5000
float
counts
0, 3, 2.60988,  0, 0, 		1, 3, -2.60988, 0, -2.60988, 
0, 3, 2.60988, 20, 0, 		1, 3, -2.60988, 0, -2.60988, 
0, 3, 2.60988, 20, 0, 		1, 3, -2.60988, 0, -2.60988, 
0, 3, 19.7568,  0, 0, 		1, 3, -19.7568, 0, -19.7568, 
0, 3, 14.8176, 14.8176, 0, 	1, 3, -24.696, 10, -34.696, 
0, 3, 7.40879, 7.40879, -0, 	1, 3, -12.348, 24.696, -37.044, 
0, 3, 0, 0, 0, 			1, 3, 15, 30, 30, 
0, 3, -10, 0, 10, 		1, 3, 25, 30, 30, 
0, 3, -10, 0, 10, 		1, 3, 25, 30, 30, 
0, 3, -19.7568, 0, -19.7568, 	1, 3, 19.7568, 0, 0, 
0, 3, -24.696, 10, -34.696, 	1, 3, 14.8176, 14.8176, 0, 
0, 3, -12.348, 24.696, -37.044, 1, 3, 7.40879, 7.40879, -0, 
0, 3, 15, 30, 30, 		1, 3,   0, 0, 0, 
0, 3, 25, 30, 30, 		1, 3, -10, 0, 10, 
