5000
float
counts
0, 3, -0, 0, 0, 
1, 3, -0, 0, 0, 
0, 3, 9.20424, 9.20424, 0, 
1, 3, -0, 0, 0, 
0, 3, 9.20424, 0, 0, 
1, 3, -9.20424, 0, 9.20424, 
0, 3, 18.4085, 0, 0, 
1, 3, -18.4085, 20, 38.4085, 
0, 3, 13.8064, 13.8064, 0, 
1, 3, -13.8064, 20, 33.8064, 
0, 3, 6.90318, 6.90318, 0, 
1, 3, -6.90318, 30, 36.9032, 
0, 3, -0, 0, 0, 
1, 3, -0, 30, 30, 
0, 3, -9.20424, 0, 9.20424, 
1, 3, 9.20424, 30, 20.7958, 
0, 3, -13.8064, 0, 13.8064, 
1, 3, 13.8064, 15, 1.19364, 
0, 3, -18.4085, 0, 18.4085, 
1, 3, 18.4085, 0, -18.4085, 
0, 3, -13.8064, 20, 33.8064, 
1, 3, 13.8064, 13.8064, 0, 
0, 3, -6.90318, 30, 36.9032, 
1, 3, 6.90318, 6.90318, 0, 
0, 3, -0, 30, 30, 
1, 3, -0, 0, 0, 
0, 3, 9.20424, 30, 20.7958, 
1, 3, -9.20424, 0, 9.20424, 
0, 3, 13.8064, 15, 1.19364, 
1, 3, -13.8064, 0, 13.8064, 
